,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24
NEG_1,CTX_RH_SUPERIORPARIETAL,-0.921892,CTX_LH_MIDDLETEMPORAL,-0.56998,CTX_RH_PARSTRIANGULARIS,-0.72177,CTX_RH_FUSIFORM,-0.696353,CTX_LH_PARSORBITALIS,-0.486409,CTX_RH_SUPERIORTEMPORAL,-0.353823,LEFT_PUTAMEN,-0.65025,CTX_LH_POSTERIORCINGULATE,-0.575057,,,CTX_RH_LINGUAL,-0.581411,CTX_RH_BANKSSTS,-0.529551,RIGHT_PALLIDUM,-0.833003,,,,,,,,,,,LEFT_THALAMUS_PROPER,-0.473175,CTX_LH_INSULA,-0.456657,,,,,LEFT_AMYGDALA,-0.192158,,,,,CTX_LH_SUPERIORTEMPORAL,-0.367771
NEG_2,CTX_RH_INFERIORPARIETAL,-0.879253,CTX_LH_LATERALOCCIPITAL,-0.433058,CTX_RH_PRECENTRAL,-0.713348,CTX_RH_INFERIORTEMPORAL,-0.522788,CTX_RH_LATERALORBITOFRONTAL,-0.484935,CTX_RH_LATERALOCCIPITAL,-0.335174,RIGHT_PUTAMEN,-0.641086,CTX_RH_ISTHMUSCINGULATE,-0.566331,,,CTX_RH_CUNEUS,-0.517434,CTX_RH_LATERALOCCIPITAL,-0.503791,LEFT_PALLIDUM,-0.756114,,,,,,,,,,,RIGHT_THALAMUS_PROPER,-0.3778,CTX_RH_CAUDALANTERIORCINGULATE,-0.444852,,,,,CTX_LH_LATERALOCCIPITAL,-0.144851,,,,,CTX_RH_SUPERIORTEMPORAL,-0.319431
NEG_3,CTX_RH_INFERIORTEMPORAL,-0.756755,CTX_LH_SUPERIORTEMPORAL,-0.379266,CTX_LH_PARSTRIANGULARIS,-0.690775,CTX_LH_INFERIORTEMPORAL,-0.494926,CTX_LH_LATERALORBITOFRONTAL,-0.451109,RIGHT_HIPPOCAMPUS,-0.269451,,,CTX_LH_ISTHMUSCINGULATE,-0.493842,,,CTX_RH_TRANSVERSETEMPORAL,-0.390149,CTX_RH_PARSTRIANGULARIS,-0.272423,,,,,,,,,,,,,CTX_LH_ENTORHINAL,-0.202709,CTX_LH_PARSOPERCULARIS,-0.376658,,,,,,,,,,,,
NEG_4,CTX_RH_SUPRAMARGINAL,-0.706128,CTX_RH_FRONTALPOLE,-0.325932,CTX_LH_PARSORBITALIS,-0.626184,CTX_LH_FUSIFORM,-0.475259,CTX_LH_PARAHIPPOCAMPAL,-0.431378,CTX_LH_MEDIALORBITOFRONTAL,-0.23959,,,CTX_LH_PRECUNEUS,-0.363401,,,CTX_RH_FUSIFORM,-0.287861,CTX_RH_LINGUAL,-0.234539,,,,,,,,,,,,,LEFT_HIPPOCAMPUS,-0.156531,CTX_LH_CAUDALANTERIORCINGULATE,-0.338569,,,,,,,,,,,,
NEG_5,CTX_RH_FUSIFORM,-0.67573,CTX_LH_POSTCENTRAL,-0.316121,CTX_LH_POSTCENTRAL,-0.61921,CTX_RH_LATERALORBITOFRONTAL,-0.406304,CTX_RH_PARAHIPPOCAMPAL,-0.394876,RIGHT_AMYGDALA,-0.210958,,,CTX_RH_PRECUNEUS,-0.196005,,,CTX_RH_LATERALOCCIPITAL,-0.251536,CTX_LH_LATERALORBITOFRONTAL,-0.22758,,,,,,,,,,,,,LEFT_AMYGDALA,-0.126178,CTX_LH_LATERALORBITOFRONTAL,-0.261274,,,,,,,,,,,,
NEG_6,CTX_LH_SUPERIORPARIETAL,-0.636562,CTX_LH_TEMPORALPOLE,-0.298292,CTX_RH_CAUDALANTERIORCINGULATE,-0.574518,CTX_RH_MEDIALORBITOFRONTAL,-0.25858,CTX_LH_SUPERIORFRONTAL,-0.337106,LEFT_HIPPOCAMPUS,-0.192347,,,CTX_LH_FRONTALPOLE,-0.17672,,,,,CTX_RH_INFERIORPARIETAL,-0.100788,,,,,,,,,,,,,,,CTX_RH_INSULA,-0.242439,,,,,,,,,,,,
NEG_7,CTX_RH_MIDDLETEMPORAL,-0.626248,CTX_LH_FRONTALPOLE,-0.2976,CTX_RH_FRONTALPOLE,-0.525409,CTX_RH_LINGUAL,-0.184705,CTX_RH_PARSORBITALIS,-0.242234,CTX_RH_CUNEUS,-0.168886,,,CTX_LH_CAUDALMIDDLEFRONTAL,-0.164534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_8,CTX_LH_INFERIORTEMPORAL,-0.602487,CTX_LH_ENTORHINAL,-0.282358,CTX_RH_PARACENTRAL,-0.508463,CTX_RH_PARAHIPPOCAMPAL,-0.182305,CTX_RH_ENTORHINAL,-0.223954,CTX_RH_MIDDLETEMPORAL,-0.157017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_9,CTX_RH_CAUDALMIDDLEFRONTAL,-0.592927,CTX_LH_ROSTRALMIDDLEFRONTAL,-0.264642,CTX_RH_PARSORBITALIS,-0.492937,CTX_LH_LINGUAL,-0.139572,CTX_LH_ENTORHINAL,-0.218056,CTX_LH_PRECENTRAL,-0.144533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_10,CTX_RH_ROSTRALMIDDLEFRONTAL,-0.575335,CTX_LH_PARSTRIANGULARIS,-0.257529,CTX_LH_PARACENTRAL,-0.491826,,,CTX_RH_MEDIALORBITOFRONTAL,-0.207512,CTX_RH_PERICALCARINE,-0.141222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
