,NSFA_0,NSFA_1,NSFA_2,NSFA_3,NSFA_4,NSFA_5,NSFA_6,NSFA_7,NSFA_8,NSFA_9,NSFA_10,NSFA_11,NSFA_12,NSFA_13,NSFA_14,NSFA_15,NSFA_16,NSFA_17,NSFA_18,NSFA_19,NSFA_20,NSFA_21,NSFA_22,NSFA_23,NSFA_24,NSFA_25,NSFA_26,NSFA_27,NSFA_28
AMYGDALA,0.309077,-0.344342,0.0,-0.0,0.0,-0.059933,-0.36281,-0.204532,0.311284,-0.0,0.0,0.0,-0.0,-0.0,-0.243515,-0.0,0.103475,0.0,-0.0,0.0,0.13182,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.06646,-0.0
CTX_PARAHIPPOCAMPAL,0.353068,-0.0,0.0,-0.278641,0.0,-0.405957,-0.047914,0.030644,0.11505,-0.0,0.0,0.0,-0.0,-0.0,0.183138,0.065586,-0.217972,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.043862,0.0,-0.0,0.0,0.0
CTX_INFERIORTEMPORAL,0.256385,0.0,0.0,-0.395879,-0.0,-0.103457,0.475056,0.460046,-0.287159,-0.0,-0.184004,-0.048837,-0.0,-0.0,-0.314621,-0.021163,-0.195908,-0.0,0.0,0.0,-0.094457,0.0,-0.0,-0.0,0.0,-0.087945,0.0,-0.0,-0.0
CTX_LATERALOCCIPITAL,0.0,-0.0,-0.0,0.0,-0.292476,0.0,0.133092,0.24839,-0.856706,0.081392,0.0,-0.077149,0.0,0.0,0.0,0.129618,0.113384,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.254904,-0.0,-0.122854,0.0,-0.0
CTX_POSTCENTRAL,-0.426388,0.0,0.043831,-0.17327,0.369611,-0.125263,0.218776,-0.174803,-0.582871,-0.031559,0.208796,0.0,-0.343868,-0.0,0.133168,-0.049783,0.019439,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
CTX_CUNEUS,0.42095,0.047455,-0.172402,0.50819,-0.0,0.0,-0.148432,0.0,-0.612543,0.0,0.0,0.166227,0.0,0.0,0.130432,0.0,0.078739,0.0,0.0,-0.0,0.0,-0.0,0.279383,-0.0,-0.157259,-0.0,-0.0,-0.0,0.0
CTX_PARSTRIANGULARIS,-0.526073,0.028728,-0.0,-0.0,0.0,-0.053759,0.470904,0.211785,0.141332,-0.268053,0.0,-0.0,0.0,0.0,0.17192,0.0,-0.048588,0.21048,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
CTX_INSULA,0.315377,-0.155806,0.0,-0.032835,-0.0,-0.0,0.230061,-0.222057,0.560531,-0.0,0.076531,-0.0,-0.229094,-0.0,-0.044592,0.068781,-0.069704,0.239038,0.0,-0.108083,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.188531
CTX_CAUDALMIDDLEFRONTAL,-0.418948,-0.0,0.0,-0.0,0.0,0.0,0.644706,-0.259573,0.0,-0.114582,-0.556685,-0.0,-0.13636,-0.085054,0.0,-0.0,-0.008373,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CTX_ENTORHINAL,0.132116,-0.0,0.0,-0.0,-0.074338,-0.445445,-0.657284,0.066803,0.0,0.0,-0.0,0.0,-0.0,-0.301543,0.0,-0.0,-0.038566,0.0,-0.0,0.0,-0.0,0.453592,0.080621,0.0,-0.0,0.0,0.142812,0.0,0.0
CTX_SUPERIORTEMPORAL,0.083015,-0.0,-0.0,-0.247498,-0.0,-0.078795,0.393289,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.097266,0.285096,0.349165,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.555545,0.188688,-0.0,-0.0,-0.0
CTX_INFERIORPARIETAL,-0.199717,-0.0,-0.161541,-0.240054,0.0,0.0,0.742114,0.045112,-0.35021,0.08646,-0.173106,0.0,0.29363,0.0,-0.0,0.0,-0.00317,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.14887,0.0,-0.0,-0.0,0.0
PUTAMEN,0.0,-0.385557,-0.0,0.0,0.0,0.046268,-0.39184,-0.328663,0.421482,-0.090745,0.228685,-0.215557,-0.0,0.212966,-0.286359,0.0,0.025202,-0.0,-0.0,0.0,-0.202151,-0.0,0.090366,0.0,-0.0,-0.0,0.0,-0.0,0.148067
CTX_ROSTRALMIDDLEFRONTAL,-0.452557,-0.0,0.030945,-0.0,-0.0,-0.0,0.738213,0.199734,0.161704,-0.0,-0.157914,-0.0,-0.0,-0.0,-0.0,-0.032841,0.188173,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.322717,0.0,-0.0,-0.0
CTX_PERICALCARINE,0.389832,-0.0,0.0,0.460277,0.0,-0.167186,0.598689,-0.0,-0.368746,0.0,0.0,0.0,0.0,0.0,-0.034229,-0.105946,0.086754,-0.0,-0.0,-0.0,-0.0,0.0,-0.315576,0.0,0.0,0.0,-0.0,-0.0,0.0
CEREBELLUM_WHITE_MATTER,0.010069,0.0,-0.0,0.0,0.0,0.339332,-0.932224,0.018294,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.112423,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CTX_SUPRAMARGINAL,-0.40238,0.074565,-0.0,-0.211544,0.252893,-0.0,0.661083,-0.0,-0.234465,0.090963,-0.0,-0.0,0.129641,-0.0,0.0,-0.0,-0.135054,0.191441,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
CTX_ROSTRALANTERIORCINGULATE,-0.0,0.1968,0.0,0.0,0.0,0.0,0.386764,0.0,0.694325,0.080281,-0.0,0.0,-0.082495,-0.0,0.0,0.0,0.153642,0.159161,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.123894,-0.0,-0.0,-0.0,0.0
CTX_PARACENTRAL,-0.198006,0.129979,0.0,0.040502,0.0,-0.0,0.010681,-0.285359,-0.12143,0.0,0.388381,0.0,-0.40437,0.0,0.0,0.0,-0.19051,-0.353977,-0.625883,-0.0,0.0,-0.0,0.0,0.0,0.135109,-0.0,0.0,-0.0,0.0
CTX_TRANSVERSETEMPORAL,0.239527,0.112645,0.0,-0.0,-0.148606,-0.075209,0.215674,-0.569799,0.160602,-0.086076,0.281559,0.100499,0.0,-0.0,-0.0,-0.0,0.159383,0.0,0.29438,0.0,-0.0,0.0,0.0,-0.0,0.480486,-0.0,0.0,0.0,-0.0
CTX_MIDDLETEMPORAL,0.0,0.0,-0.267671,-0.350586,-0.0,-0.083258,0.488049,0.46496,-0.345216,0.0,-0.243711,0.0,0.082211,0.0,-0.0,0.059679,-0.008784,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.147157,-0.0,-0.0,0.0,0.086697
CTX_TEMPORALPOLE,0.09391,0.0731,-0.0,-0.0,0.0,-0.03529,-0.629491,0.215957,0.0,-0.0,0.0,-0.0,-0.0,0.060244,-0.0,0.0,0.211243,-0.0,0.0,-0.0,0.225771,0.0,0.0,-0.0,0.0,0.195491,0.62704,0.0,0.0
CTX_FUSIFORM,0.594868,0.128237,0.385703,-0.165821,0.0,0.0,0.295368,0.155507,-0.24357,-0.0,-0.0,0.0,0.079867,0.0,-0.370859,-0.0,-0.101476,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
CTX_SUPERIORPARIETAL,-0.24237,-0.115275,0.0,-0.18577,0.0,-0.005589,0.616402,-0.165475,-0.52454,0.177701,-0.0,0.22906,0.088779,-0.0,0.0,-0.262398,-0.007273,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.302462,-0.0,-0.0,-0.0,0.0
CTX_LATERALORBITOFRONTAL,0.0,-0.0,-0.0,-0.050682,-0.0,-0.0,0.189379,0.40853,0.426095,-0.295873,0.0,0.0,-0.059222,-0.0,-0.197031,-0.133237,-0.201485,0.0,0.225882,0.230611,0.0,0.0,0.0,-0.168547,-0.177322,-0.0,-0.0,0.0,0.0
CTX_PARSOPERCULARIS,-0.315749,0.152922,0.0,0.0,0.0,-0.055728,0.592521,-0.0,0.353497,-0.403651,0.0,-0.0,-0.0,0.018928,0.0,0.0,-0.282047,0.361857,0.0,-0.230534,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.036412
HIPPOCAMPUS,0.179576,-0.085231,0.0,0.0,0.0,-0.09835,-0.890737,-0.117418,0.079305,-0.040048,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.034136,0.0,0.0,-0.0,0.2686,-0.0,0.0,-0.0,0.0,-0.0,-0.110345,-0.0,0.0
CEREBRAL_WHITE_MATTER,-0.039256,0.138349,0.0,0.0,0.054466,0.321934,-0.926555,0.021766,-0.0,-0.0,0.0,-0.058789,0.0,-0.0,-0.059269,0.0,-0.111072,-0.0,0.0,0.036737,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAIN_STEM,-0.0,-0.0,0.0,-0.0,-0.0,0.243334,-0.96927,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04508,-0.082269,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.019387,-0.0,0.0,-0.0,0.0,-0.0
ACCUMBENS_AREA,0.02965,-0.228417,0.0,-0.025681,-0.0,-0.0,0.598352,0.0,0.385024,0.0,0.141244,0.0,0.0,0.0,-0.05639,0.0,0.110463,-0.103692,0.0,-0.0,-0.120097,0.0,0.0,0.525127,-0.0,0.125374,-0.0,-0.258815,0.0
CTX_POSTERIORCINGULATE,-0.119306,0.0,0.0,0.0,-0.108211,-0.175674,0.658523,-0.223492,0.323081,0.381962,-0.0,0.0,-0.0,0.162053,0.340794,0.082363,-0.251061,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
CTX_FRONTALPOLE,-0.376683,-0.0,-0.0,0.0,0.0,-0.021602,0.302797,0.59463,-0.0,0.047474,-0.0,-0.0,0.104494,-0.048321,-0.0,-0.0,0.156967,-0.365234,0.119726,-0.286237,-0.0,0.0,0.0,-0.146644,0.0,-0.0,-0.150479,0.268898,0.0
CTX_PRECUNEUS,0.018636,0.0,0.0,-0.03747,0.0,0.0,0.838443,-0.14827,0.195569,0.115066,0.0,-0.0,0.280591,0.0,-0.0,-0.108245,-0.153731,-0.095602,-0.153849,0.0,0.0,-0.0,-0.0,-0.0,0.056743,-0.0,0.0,0.0,0.0
CTX_SUPERIORFRONTAL,-0.347073,0.0,-0.0,-0.0,0.0,0.0,0.674548,-0.178853,0.352198,-0.0,-0.295558,-0.0,-0.209782,-0.0,-0.086585,-0.12806,0.07488,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.082095,-0.0,0.0,-0.294399
CTX_CAUDALANTERIORCINGULATE,-0.171056,0.172049,-0.0,-0.0,-0.0,-0.065391,0.309862,-0.259499,0.595481,0.305878,0.0,-0.0,-0.183484,0.0,0.130261,0.089563,0.063628,0.193866,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.146435,-0.0,-0.0,0.128975,-0.053836
