,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11
NEG_1,THALAMUS_PROPER,-0.84738,CTX_PARACENTRAL,-0.629146,CTX_FUSIFORM,-0.526216,HEMIWM,-0.711193,CTX_MIDDLETEMPORAL,-0.417136,CTX_ROSTRALANTERIORCINGULATE,-0.64056,CTX_BANKSSTS,-0.500733,CTX_PERICALCARINE,-0.625828,PARSFR,-0.307196,CTX_LATERALOCCIPITAL,-0.658113,,,,
NEG_2,CAUDATE,-0.783871,CTX_SUPERIORPARIETAL,-0.606737,CTX_INFERIORTEMPORAL,-0.365791,CEREBWM,-0.688878,CTX_INFERIORPARIETAL,-0.32701,CTX_INSULA,-0.621215,CTX_SUPERIORTEMPORAL,-0.497076,CTX_CUNEUS,-0.583085,,,,,,,,
NEG_3,PUTAMEN,-0.745276,CTX_PRECENTRAL,-0.599884,CTX_LINGUAL,-0.343956,BRAIN_STEM,-0.555713,ACCUMBENS_AREA,-0.250745,ORBITOFR,-0.469147,CTX_TRANSVERSETEMPORAL,-0.408255,CTX_LINGUAL,-0.550242,,,,,,,,
NEG_4,BRAIN_STEM,-0.706234,CTX_POSTCENTRAL,-0.482341,CTX_BANKSSTS,-0.180194,CEREBGM,-0.370922,,,CTX_TRANSVERSETEMPORAL,-0.413734,CTX_INFERIORPARIETAL,-0.348303,CTX_POSTCENTRAL,-0.258761,,,,,,,,
NEG_5,PALLIDUM,-0.680362,CTX_SUPRAMARGINAL,-0.324181,ORBITOFR,-0.165511,PARSFR,-0.362977,,,CTX_CAUDALANTERIORCINGULATE,-0.342957,CTX_SUPRAMARGINAL,-0.254297,CTX_TRANSVERSETEMPORAL,-0.185943,,,,,,,,
NEG_6,CEREBGM,-0.674095,CTX_POSTERIORCINGULATE,-0.313821,CTX_PRECUNEUS,-0.109038,ORBITOFR,-0.348956,,,CTX_SUPERIORTEMPORAL,-0.325347,CAUDATE,-0.237135,,,,,,,,,,
NEG_7,CEREBWM,-0.613223,CTX_SUPERIORFRONTAL,-0.30015,,,CTX_CAUDALANTERIORCINGULATE,-0.319901,,,PARSFR,-0.267829,CTX_MIDDLETEMPORAL,-0.195507,,,,,,,,,,
NEG_8,HEMIWM,-0.593758,CTX_PRECUNEUS,-0.272404,,,THALAMUS_PROPER,-0.297829,,,CTX_SUPERIORFRONTAL,-0.210168,MIDDLEFR,-0.170771,,,,,,,,,,
NEG_9,CTX_TRANSVERSETEMPORAL,-0.533655,CTX_CAUDALANTERIORCINGULATE,-0.252198,,,,,,,CTX_PERICALCARINE,-0.167749,,,,,,,,,,,,
NEG_10,CTX_PERICALCARINE,-0.466101,PARSFR,-0.244245,,,,,,,CTX_TEMPORALPOLE,-0.146427,,,,,,,,,,,,
