Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
ctx-lh-temporalpole,0.087777879,0.10147345,32.33944954,18.49434339,29.21212121,18.15673775,0.354865358,0.02793995,1.072727477,0.154471747,1.078245263,0.157361652,['ctx-lh-temporalpole']
ctx-lh-postcentral,0.322568157,0.034542674,27.88990826,16.12129451,28.6969697,16.00044478,0.098324206,0.096747289,1.10655956,0.191970596,1.077472749,0.172337145,['ctx-lh-postcentral']
ctx-lh-lateraloccipital,0.490000029,0.001946066,32.65137615,26.73429442,32.49242424,27.98416658,0.328968663,0.03322213,1.102512672,0.312727221,1.073133593,0.286318531,['ctx-lh-lateraloccipital']
Left-Pallidum,0.211462015,0.060050042,32.86238532,24.72767936,31.02272727,25.37162156,0.436211029,0.012093411,1.063729416,0.237995119,1.070591304,0.225572545,['Left-Pallidum']
ctx-rh-rostralmiddlefrontal,0.054111755,0.12030859,27.80733945,15.42812698,32,17.88049555,0.022732729,0.149847095,1.115392554,0.202530411,1.063834885,0.180403468,['ctx-rh-rostralmiddlefrontal']
Right-Thalamus-Proper,0.171340483,0.071100917,33.35779817,19.54224919,30.3030303,16.98615274,0.402849119,0.018487629,1.053864432,0.106937323,1.059107171,0.10473803,['Right-Thalamus-Proper']
ctx-rh-precentral,0.237292442,0.053586322,30.31192661,14.53480306,31.10606061,14.02986942,0.076568744,0.107033639,1.078609713,0.145388763,1.054798249,0.140351186,['ctx-rh-precentral']
ctx-rh-lateraloccipital,0.420892863,0.01501251,33.66055046,26.45238762,34.75757576,26.26269425,0.202007176,0.062552127,1.071100438,0.248249673,1.052394769,0.247201119,['ctx-rh-lateraloccipital']
ctx-lh-precentral,0.491850895,0.001598554,32.09174312,13.26341542,32.09848485,13.67804027,0.101580911,0.095357242,1.071511162,0.149719778,1.045198478,0.140870024,['ctx-lh-precentral']
ctx-rh-parsopercularis,0.406061693,0.017862107,33.31192661,15.85756396,34.13636364,15.54941913,0.102905353,0.094801223,1.072689304,0.186085018,1.039329868,0.14380522,['ctx-rh-parsopercularis']
ctx-rh-caudalmiddlefrontal,0.224882058,0.056644426,31.9266055,14.53544003,33.59848485,14.48921221,0.038045157,0.132888518,1.080973719,0.176573449,1.038544061,0.140556102,['ctx-rh-caudalmiddlefrontal']
ctx-lh-caudalmiddlefrontal,0.359335663,0.027036419,33.9266055,17.14252528,34.93939394,16.86252685,0.145199442,0.079232694,1.078882627,0.205640448,1.036580713,0.153771372,['ctx-lh-caudalmiddlefrontal']
ctx-rh-transversetemporal,0.391372184,0.020711704,35.06422018,26.66519404,36.51515152,27.75501179,0.274685014,0.044898527,1.056298284,0.250385629,1.034079294,0.271777079,['ctx-rh-transversetemporal']
ctx-lh-cuneus,0.079789368,0.105365582,32.70642202,24.00470243,36.26515152,22.48664919,0.03007767,0.140811788,1.08776111,0.265456554,1.032619556,0.229258925,['ctx-lh-cuneus']
ctx-lh-caudalanteriorcingulate,0.489260747,0.002085071,37.33027523,21.12134233,37.68181818,22.9351253,0.269141195,0.046149569,1.046298273,0.197958922,1.032100898,0.218596116,['ctx-lh-caudalanteriorcingulate']
ctx-lh-rostralmiddlefrontal,0.289069528,0.041701418,35.26605505,19.95483074,36.5,19.36472112,0.158728558,0.074923547,1.073055353,0.232287372,1.030833133,0.18254873,['ctx-lh-rostralmiddlefrontal']
ctx-rh-medialorbitofrontal,0.339757041,0.030998054,38.50458716,20.6551519,37.52272727,20.31698271,0.430369191,0.013205449,1.041530583,0.208681231,1.022728655,0.168148398,['ctx-rh-medialorbitofrontal']
ctx-rh-rostralanteriorcingulate,0.309703407,0.037253267,36.2293578,18.63932561,37.46969697,19.12417136,0.058251008,0.117597998,1.056823486,0.179494321,1.022045573,0.161369322,['ctx-rh-rostralanteriorcingulate']
ctx-lh-superiorparietal,0.274344448,0.044968029,38.21100917,20.79082075,39.68181818,20.18900022,0.126593302,0.085626911,1.059857281,0.257879574,1.020776716,0.222021773,['ctx-lh-superiorparietal']
ctx-lh-parsopercularis,0.260581506,0.048095635,35.93577982,15.33914775,37.17424242,15.15300561,0.178820388,0.068946344,1.056108896,0.18866459,1.020192418,0.132395524,['ctx-lh-parsopercularis']
ctx-rh-superiorparietal,0.202491117,0.062413122,36.97247706,18.36453439,39.43939394,20.02810812,0.096407254,0.097581318,1.05262064,0.211037641,1.01329287,0.182859928,['ctx-rh-superiorparietal']
ctx-rh-cuneus,0.149216063,0.077912149,36.62385321,24.48695177,39.25757576,22.79208436,0.073157652,0.108840701,1.039144834,0.223409948,1.007943009,0.192095605,['ctx-rh-cuneus']
ctx-rh-caudalanteriorcingulate,0.323588608,0.034334167,38.44036697,18.31549762,39.57575758,19.53129626,0.073674733,0.108562691,1.042961115,0.169245404,1.007509573,0.15856058,['ctx-rh-caudalanteriorcingulate']
ctx-rh-isthmuscingulate,0.408590787,0.017375591,40.74311927,18.86961718,39.84848485,18.73478569,0.234813405,0.054211843,1.012574852,0.173998801,0.998799888,0.157762705,['ctx-rh-isthmuscingulate']
ctx-rh-supramarginal,0.172987599,0.070614401,40.88990826,14.38547908,42.63636364,14.88912188,0.035651806,0.135112594,1.025970317,0.167202349,0.99093768,0.140865253,['ctx-rh-supramarginal']
ctx-rh-superiorfrontal,0.194955607,0.064428691,42.51376147,14.48670044,41.70454545,13.91246369,0.219150057,0.058103976,1.016275913,0.15936227,0.990412215,0.121050413,['ctx-rh-superiorfrontal']
ctx-lh-rostralanteriorcingulate,0.302531472,0.038782319,40.55963303,19.02988051,41.62121212,17.80344294,0.192727465,0.065054212,1.019999192,0.182556826,0.990083059,0.143748357,['ctx-lh-rostralanteriorcingulate']
ctx-lh-supramarginal,0.275866804,0.044620517,41.71559633,16.16207575,42.81060606,14.37492165,0.083751936,0.103419516,1.022668722,0.178961106,0.986511936,0.140426466,['ctx-lh-supramarginal']
ctx-lh-superiorfrontal,0.184142163,0.067417292,44.43119266,16.12358633,43.18939394,14.24468672,0.350039842,0.028912983,1.008247639,0.174984007,0.98374852,0.125627223,['ctx-lh-superiorfrontal']
ctx-rh-inferiortemporal,0.363507165,0.026202391,43.32110092,16.33866396,42.53030303,16.59154558,0.147327426,0.07853767,0.994995361,0.136071226,0.981936513,0.128087496,['ctx-rh-inferiortemporal']
ctx-lh-isthmuscingulate,0.169938613,0.071517932,45.09174312,18.12117282,42.66666667,19.07944581,0.26730581,0.046566583,0.994242305,0.173960573,0.981329836,0.163598282,['ctx-lh-isthmuscingulate']
ctx-lh-inferiorparietal,0.443889279,0.010633862,43.89908257,19.19477421,44.31818182,18.9865655,0.181746025,0.068112316,1.014398767,0.207485085,0.980941705,0.171022892,['ctx-lh-inferiorparietal']
ctx-lh-inferiortemporal,0.142181449,0.080205727,41.68807339,16.16412226,43.72727273,15.28967314,0.021366376,0.151793161,1.009970729,0.16031544,0.974973575,0.125000168,['ctx-lh-inferiortemporal']
ctx-rh-middletemporal,0.12944933,0.084584376,42.43119266,14.80724282,44.71969697,15.38412917,0.020070114,0.153739227,1.004131258,0.119932236,0.972519976,0.114921479,['ctx-rh-middletemporal']
ctx-rh-inferiorparietal,0.32825758,0.033361134,45.29357798,18.36195846,46.71969697,16.67438354,0.088417294,0.101195441,0.995883334,0.178838052,0.966043384,0.152729248,['ctx-rh-inferiorparietal']
ctx-lh-transversetemporal,0.367709231,0.025368363,40.39449541,23.9839466,41.60606061,25.53065821,0.156047516,0.075757576,0.999281032,0.19940931,0.965166444,0.23739701,['ctx-lh-transversetemporal']
ctx-lh-middletemporal,0.367692029,0.025368363,46.21100917,15.48012837,46.9469697,16.68119718,0.064318034,0.113844871,0.985041491,0.147728696,0.957414026,0.132388132,['ctx-lh-middletemporal']
ctx-rh-superiortemporal,0.318238343,0.035446205,47.3853211,11.85687449,46.53787879,13.17332319,0.139763879,0.081039755,0.96982292,0.103981967,0.956221547,0.098452649,['ctx-rh-superiortemporal']
ctx-rh-bankssts,0.063916067,0.114053378,43.68807339,16.19587514,47,16.84375615,0.010332158,0.173338894,0.994847956,0.149260236,0.951777919,0.13298716,['ctx-rh-bankssts']
ctx-lh-precuneus,0.200616098,0.062899639,48.22018349,18.49143506,50.40909091,17.07778752,0.105931123,0.093550181,0.993581945,0.23877843,0.94590545,0.173743727,['ctx-lh-precuneus']
ctx-lh-medialorbitofrontal,0.496666675,0.000695024,46.69724771,21.11806244,46.87878788,21.32860872,0.296764617,0.040033361,0.975106815,0.201998708,0.942300371,0.163329671,['ctx-lh-medialorbitofrontal']
ctx-lh-superiortemporal,0.206920997,0.061231582,51.28440367,11.16933198,49.46969697,13.69883837,0.277166882,0.044342508,0.949672117,0.11402523,0.938899194,0.10393261,['ctx-lh-superiortemporal']
ctx-lh-bankssts,0.133413361,0.083194329,46.60550459,19.29396842,49.62121212,19.12262277,0.02810806,0.143035863,0.988424345,0.216443087,0.934940195,0.161374039,['ctx-lh-bankssts']
ctx-rh-entorhinal,0.392799319,0.020433695,51.79816514,23.30443901,52.68939394,23.07863126,0.184206795,0.067417292,0.945098768,0.219399188,0.924319111,0.208034728,['ctx-rh-entorhinal']
ctx-lh-fusiform,0.436193198,0.012093411,52.12844037,16.20912696,51.93939394,16.40711116,0.156047516,0.075757576,0.947088083,0.160946991,0.921614572,0.13434342,['ctx-lh-fusiform']
ctx-rh-precuneus,0.371175809,0.024673339,51.97247706,16.1395626,53.39393939,14.28219785,0.087528099,0.101612455,0.955157847,0.17727967,0.918026779,0.126996039,['ctx-rh-precuneus']
ctx-lh-posteriorcingulate,0.309363939,0.037322769,53,17.49600216,53.52272727,19.02966819,0.101910852,0.095218237,0.944231475,0.185594281,0.915218573,0.17409592,['ctx-lh-posteriorcingulate']
ctx-lh-entorhinal,0.168301859,0.072004448,50.4587156,21.10590687,53.09848485,20.67712096,0.048397659,0.12440923,0.942007875,0.168723272,0.907913177,0.169906012,['ctx-lh-entorhinal']
ctx-rh-fusiform,0.224320173,0.056783431,56.14678899,14.24737265,53.98484848,16.02932202,0.344554511,0.030025021,0.915057066,0.143650553,0.907177085,0.124540238,['ctx-rh-fusiform']
ctx-rh-posteriorcingulate,0.169430937,0.071656936,53.60550459,16.7151079,55.5530303,16.52377277,0.019980133,0.153878232,0.938332575,0.156774959,0.897952635,0.147834788,['ctx-rh-posteriorcingulate']
Left-Hippocampus,0.24069235,0.052752294,62.19266055,12.11676908,60.15151515,14.3164902,0.218054713,0.058381985,0.863123942,0.088973784,0.858622302,0.09576292,['Left-Hippocampus']
Right-Hippocampus,0.153011829,0.076661106,61.86238532,13.7737071,60.52272727,13.35498199,0.255830267,0.049207673,0.864731504,0.087688196,0.857933558,0.083179999,['Right-Hippocampus']
Left-Caudate,0.193128274,0.064915207,62.53211009,17.2911224,60.48484848,18.06825646,0.466342024,0.006394217,0.842080743,0.156539183,0.840472594,0.159164535,['Left-Caudate']
ctx-lh-lingual,0.319876969,0.035098693,62.06422018,19.64187403,61.87878788,18.77741644,0.406445898,0.017792605,0.844578607,0.21446619,0.825346855,0.1909435,['ctx-lh-lingual']
Right-Caudate,0.271165071,0.045663053,64.31192661,17.47695586,63.35606061,17.3175041,0.386414045,0.021684737,0.8270112,0.156023358,0.82155201,0.149298122,['Right-Caudate']
ctx-rh-lingual,0.302485791,0.038782319,63.73394495,17.36317003,63.45454545,16.26269371,0.315652188,0.036002224,0.830644499,0.183080715,0.818219009,0.155960858,['ctx-rh-lingual']
ctx-lh-insula,0.459653146,0.00764526,68.62385321,10.22569976,68.95454545,10.11813826,0.125823843,0.085904921,0.809455724,0.119569016,0.78779852,0.09772619,['ctx-lh-insula']
ctx-rh-parahippocampal,0.388439646,0.021267723,70.52293578,12.33001583,70.76515152,12.64663079,0.464866303,0.006672227,0.764937405,0.153128272,0.765681758,0.125490551,['ctx-rh-parahippocampal']
ctx-rh-insula,0.164293553,0.073046984,72.95412844,8.065540383,73.89393939,7.935590692,0.080376093,0.105087573,0.759560862,0.117289305,0.735053919,0.100480747,['ctx-rh-insula']
ctx-lh-parahippocampal,0.405569866,0.01793161,72.89908257,12.34886241,72.67424242,12.29097736,0.368779045,0.025159855,0.742090929,0.163118376,0.733691481,0.150663425,['ctx-lh-parahippocampal']
Left-Putamen,0.043794059,0.127745343,75.25688073,7.775996552,73,10.30225042,0.254042135,0.049624687,0.719973736,0.112257927,0.726426976,0.113338352,['Left-Putamen']
Left-Amygdala,0.120991144,0.087503475,75.72477064,9.1509979,73.90909091,10.26870396,0.397111455,0.019599666,0.705292811,0.148403964,0.711658642,0.126701325,['Left-Amygdala']
Right-Amygdala,0.3198255,0.035029191,76.3853211,10.3213578,76.18939394,9.948452427,0.364585874,0.025993884,0.688628599,0.135270188,0.683180514,0.125721822,['Right-Amygdala']
Right-Putamen,0.270709339,0.04559355,78.60550459,5.374111147,77.73484848,7.304896499,0.37439425,0.024047818,0.667786231,0.111984847,0.666545856,0.107469245,['Right-Putamen']
ctx-lh-pericalcarine,0.170084748,0.07117042,70.28440367,21.73910852,72.81818182,19.28212321,0.125439831,0.086043925,0.67306662,0.379067691,0.611100999,0.314019547,['ctx-lh-pericalcarine']
ctx-rh-pericalcarine,0.218138345,0.058173478,72.33944954,17.28350764,74.89393939,14.13637988,0.141629033,0.080414234,0.659667493,0.289524781,0.610112538,0.282108574,['ctx-rh-pericalcarine']
Right-Accumbens-area,0.185689563,0.062552127,84.44954128,2.451310223,84.28787879,2.650129508,0.051140618,0.122324159,0.280347668,0.204344152,0.315441175,0.197788808,['Right-Accumbens-area']
Left-Accumbens-area,0.388994234,0.017167084,85.55045872,0.990655779,85.08333333,5.321542364,0.032130509,0.13205449,0.112069964,0.160487113,0.153076879,0.186569939,['Left-Accumbens-area']
