Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
CTX_LH_PRECUNEUS,0.352830826,0.026916896,12.37878788,7.441214367,12.50757576,6.703115752,0.254576333,0.047061524,1.085567806,0.128726593,1.068625704,0.098994983,ctx-lh-precuneus
CTX_LH_ROSTRALANTERIORCINGULATE,0.381711112,0.021464646,12.12878788,8.365156181,11.87121212,8.211600537,0.484247227,0.002869605,1.076212274,0.104611469,1.068930287,0.088628602,ctx-lh-rostralanteriorcingulate
CTX_LH_ROSTRALMIDDLEFRONTAL,0.252788546,0.047405877,23.90909091,7.812630164,24.46969697,7.639053759,0.214078198,0.056473829,0.99581678,0.108273678,0.979729604,0.084707821,ctx-lh-rostralmiddlefrontal
CTX_LH_SUPERIORFRONTAL,0.252895981,0.047348485,26.63636364,6.102995697,26.28787879,5.976634179,0.498392161,0.000344353,0.979856522,0.093973296,0.971203385,0.072730803,ctx-lh-superiorfrontal
CTX_LH_SUPERIORPARIETAL,0.376787903,0.02238292,24.40151515,9.461933181,25.0530303,8.810560463,0.130070812,0.08023416,0.992579206,0.122868834,0.977775556,0.104239322,ctx-lh-superiorparietal
CTX_LH_SUPERIORTEMPORAL,0.130191307,0.080004591,28.84090909,4.976961385,28.07575758,5.364898841,0.38985365,0.019972452,0.95503816,0.07269249,0.954614622,0.060875902,ctx-lh-superiortemporal
CTX_LH_SUPRAMARGINAL,0.297402128,0.037878788,19.95454545,7.332848093,19.50757576,6.587978276,0.255611858,0.046831956,1.020217428,0.099728653,1.010216038,0.080917436,ctx-lh-supramarginal
CTX_RH_CAUDALANTERIORCINGULATE,0.388405169,0.02020202,8.348484848,7.142473097,8.439393939,7.673505753,0.301003513,0.037190083,1.109785795,0.108714894,1.100327419,0.09823587,ctx-rh-caudalanteriorcingulate
CTX_RH_CAUDALMIDDLEFRONTAL,0.22790622,0.053087695,14.9469697,6.512591992,15.49242424,6.182203457,0.19890194,0.060261708,1.052105173,0.094678059,1.037456645,0.077832124,ctx-rh-caudalmiddlefrontal
CTX_RH_FRONTALPOLE,0.250566837,0.043904959,35.53030303,2.772810067,35.68939394,2.355305345,0.087200146,0.096763085,0.815880588,0.102679729,0.797954758,0.098026707,ctx-rh-frontalpole
CTX_RH_INFERIORPARIETAL,0.498712522,0.000286961,19.09090909,7.951038188,19.17424242,7.771837476,0.172613337,0.067263545,1.023093941,0.095455548,1.0117694,0.085228998,ctx-rh-inferiorparietal
CTX_RH_ISTHMUSCINGULATE,0.341670967,0.028983012,6.446969697,6.841622165,5.757575758,6.117685753,0.315755314,0.034205693,1.130177827,0.101489538,1.122761415,0.083938218,ctx-rh-isthmuscingulate
CTX_RH_LATERALORBITOFRONTAL,0.256262361,0.046602388,8.340909091,5.999784776,7.977272727,6.215164628,0.365353672,0.02456382,1.099764949,0.098176727,1.092456793,0.08352314,ctx-rh-lateralorbitofrontal
CTX_RH_MEDIALORBITOFRONTAL,0.338006935,0.029786501,23.59848485,8.350158634,23.24242424,8.168788728,0.359912114,0.025596878,0.996397055,0.098195621,0.989844179,0.078506251,ctx-rh-medialorbitofrontal
CTX_RH_MIDDLETEMPORAL,0.153907654,0.072543618,26.06818182,5.838992729,26.77272727,5.544026145,0.11285228,0.086317723,0.972830808,0.07042233,0.960312863,0.064526058,ctx-rh-middletemporal
CTX_RH_PARSOPERCULARIS,0.38541028,0.020775941,12.26515152,7.666198782,11.87878788,7.345407041,0.396673318,0.018709826,1.073041496,0.10344623,1.063211826,0.085377957,ctx-rh-parsopercularis
CTX_RH_PARSORBITALIS,0.245358913,0.049070248,24.26515152,7.925658226,24.45454545,8.924229562,0.170970563,0.067722681,0.988981624,0.09993096,0.978072306,0.096096599,ctx-rh-parsorbitalis
CTX_RH_PARSTRIANGULARIS,0.334172508,0.030532599,14.26515152,7.253901613,14.54545455,7.001475641,0.176764133,0.066115702,1.054961545,0.101060181,1.042778003,0.083964874,ctx-rh-parstriangularis
CTX_RH_POSTERIORCINGULATE,0.122076792,0.082759412,6.53030303,6.153884452,7.265151515,6.18877264,0.133861111,0.078971534,1.125656907,0.111891427,1.110025723,0.093935007,ctx-rh-posteriorcingulate
CTX_RH_PRECUNEUS,0.469120691,0.005567034,12.83333333,7.658592586,12.50757576,6.730185521,0.271404668,0.04338843,1.073359033,0.107872603,1.061625713,0.081438683,ctx-rh-precuneus
CTX_RH_ROSTRALANTERIORCINGULATE,0.388509583,0.02020202,12.12878788,8.094522374,11.85606061,7.965962226,0.354498802,0.026629936,1.075652554,0.103703227,1.067689428,0.08789055,ctx-rh-rostralanteriorcingulate
CTX_RH_ROSTRALMIDDLEFRONTAL,0.053506135,0.114669421,23.06060606,6.868634878,24.39393939,6.995407125,0.091363389,0.094926538,0.998652896,0.094943721,0.979077952,0.082644956,ctx-rh-rostralmiddlefrontal
CTX_RH_SUPERIORFRONTAL,0.426012966,0.013314968,26.93939394,5.629679973,26.78787879,5.781409998,0.400406649,0.01802112,0.977155781,0.090234886,0.967404523,0.070978833,ctx-rh-superiorfrontal
CTX_RH_SUPERIORPARIETAL,0.499677861,0.000114784,26.86363636,8.10982637,26.88636364,7.965501113,0.210338509,0.057392103,0.972563009,0.104415597,0.96137385,0.086889737,ctx-rh-superiorparietal
CTX_RH_SUPERIORTEMPORAL,0.155781618,0.071969697,28.61363636,4.990366063,27.97727273,5.132289213,0.482319511,0.003213958,0.957145941,0.063294093,0.954766025,0.056954643,ctx-rh-superiortemporal
CTX_RH_SUPRAMARGINAL,0.41437586,0.015438476,17.57575758,7.223825491,17.59848485,7.04193053,0.184822823,0.063934803,1.035204449,0.09802774,1.02436163,0.080767449,ctx-rh-supramarginal
