"ID","SX","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","LAYOUT","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLEVAL","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","CONF","update_stamp"
"108","","DE","DATADIC","","","","","","N","2","0","","","","","","","","17103","26","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"109","","MC","DATADIC","","","","","","T","500","0","","","","","","","","17103","27","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"110","","VISIBLEVAL","DATADIC","","","","","","T","2000","0","","","","","","","","17103","28","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"111","","VISIBLE","DATADIC","","","","","","T","2000","0","","","","","","","","17103","29","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"112","","LOGVISIBLE","DATADIC","","","","","","N","2","0","","","","","","","","17103","30","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"113","","MTBLNAME","DATADIC","","","","","","T","10","0","","","","","","","","17103","31","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"114","","SUBTBLNAME","DATADIC","","","","","","T","10","0","","","","","","","","17103","32","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"115","","POPJSCPT","DATADIC","","","","","","T","1000","0","","","","","","","","17103","33","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"116","","GRID","DATADIC","","","","","","T","1000","0","","","","","","","","17103","34","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"117","","DEF","DATADIC","","","","","","T","1000","0","","","","","","","","17103","35","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"118","","CONF","DATADIC","","","","","","T","30000","0","","","","","","","","17103","36","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"166","","ID","Q1","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_q1_idx=TBLID"",""notnullcols"",""ID,TBLID""","","table_type = system","17405","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"167","","SX","Q1","","","","","","N","10","0","","","","","","","","17405","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"168","","TBLID","Q1","","","","","","T","100","0","","","","","","","","17405","3","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"169","","TBLNAME","Q1","","","","","","T","20","0","","","","","","","","17405","4","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"170","","OBJID","Q1","","","","","","N","38","0","","","","","","","","17405","5","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"171","","COLID","Q1","","","","","","N","38","0","","","","","","","","17405","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"172","","FLDNAME","Q1","","","","","","T","20","0","","","","","","","","17405","7","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"173","","PROBLEM","Q1","","","","","","T","20","0","","","","","","","","17405","8","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"174","","ENTRYCODE","Q1","","","","","","T","1","0","","","","","","","","17405","9","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"175","","ENTRY","Q1","","","","","","N","1","0","","","","","","","","17405","10","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"176","","RID","Q1","","","","","","N","38","0","","","","","","","","17405","11","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"177","","SITEID","Q1","","","","","","N","38","0","","","","","","","","17405","12","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"178","","VISCODE","Q1","","","","","","T","20","0","","","","","","","","17405","13","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"179","","RECNO","Q1","","","","","","N","38","0","","","","","","","","17405","14","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"180","","USERID1","Q1","","","","","","T","100","0","","","","","","","","17405","15","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"181","","USERDATE1","Q1","","","","","","S","0","0","","","","","","","","17405","16","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"182","","ENTRY1ID","Q1","","","","","","N","38","0","","","","","","","","17405","17","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"183","","VALUE1","Q1","","","","","","T","2000","0","","","","","","","","17405","18","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"184","","USERID2","Q1","","","","","","T","100","0","","","","","","","","17405","19","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"185","","USERDATE2","Q1","","","","","","S","0","0","","","","","","","","17405","20","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"186","","ENTRY2ID","Q1","","","","","","N","38","0","","","","","","","","17405","21","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"187","","VALUE2","Q1","","","","","","T","2000","0","","","","","","","","17405","22","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"188","","STATUS","Q1","","","","","","N","38","0","","","","","","","","17405","23","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"189","","ID","Q2","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_q2_idx=TBLID"",""notnullcols"",""ID,TBLID""","","table_type = system","17413","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"190","","SX","Q2","","","","","","N","10","0","","","","","","","","17413","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"191","","TBLID","Q2","","","","","","T","100","0","","","","","","","","17413","3","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"192","","TBLNAME","Q2","","","","","","T","20","0","","","","","","","","17413","4","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"193","","OBJID","Q2","","","","","","N","38","0","","","","","","","","17413","5","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"194","","COLID","Q2","","","","","","N","38","0","","","","","","","","17413","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"195","","USERDATE","Q2","","","","","","S","0","0","","","","","","","","17413","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"196","","ENTRYCODE","Q2","","","","","","T","1","0","","","","","","","","17413","8","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"197","","RECID","Q2","","","","","","N","38","0","","","","","","","","17413","9","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"198","","RID","Q2","","","","","","N","38","0","","","","","","","","17413","10","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"199","","SITEID","Q2","","","","","","N","38","0","","","","","","","","17413","11","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"200","","VISCODE","Q2","","","","","","T","20","0","","","","","","","","17413","12","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"201","","RECNO","Q2","","","","","","N","38","0","","","","","","","","17413","13","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"202","","FLDNAME","Q2","","","","","","T","20","0","","","","","","","","17413","14","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"203","","VALUE","Q2","","","","","","T","2000","0","","","","","","","","17413","15","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"204","","ID","Q3","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_q3_idx=TBLID"",""notnullcols"",""ID,TBLID""","","table_type = system","17421","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"205","","SX","Q3","","","","","","N","10","0","","","","","","","","17421","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"206","","TBLID","Q3","","","","","","T","100","0","","","","","","","","17421","3","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"207","","TBLNAME","Q3","","","","","","T","20","0","","","","","","","","17421","4","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"208","","OBJID","Q3","","","","","","N","38","0","","","","","","","","17421","5","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"209","","COLID","Q3","","","","","","N","38","0","","","","","","","","17421","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"210","","CTYPE","Q3","","","","","","T","20","0","","","","","","","","17421","7","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"211","","USERDATE","Q3","","","","","","S","0","0","","","","","","","","17421","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"212","","ENTRYCODE","Q3","","","","","","T","1","0","","","","","","","","17421","9","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"213","","RECID","Q3","","","","","","N","38","0","","","","","","","","17421","10","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"214","","RID","Q3","","","","","","N","38","0","","","","","","","","17421","11","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"215","","SITEID","Q3","","","","","","N","38","0","","","","","","","","17421","12","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"216","","VISCODE","Q3","","","","","","T","20","0","","","","","","","","17421","13","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"217","","RECNO","Q3","","","","","","N","38","0","","","","","","","","17421","14","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"218","","FLDNAME","Q3","","","","","","T","20","0","","","","","","","","17421","15","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"219","","VALUE","Q3","","","","","","T","2000","0","","","","","","","","17421","16","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"220","","ID","Q4","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_q4_idx=TBLNAME,RID,VISCODE"",""notnullcols"",""ID,TBLNAME,RID,VISCODE""","","table_type = system","17429","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"221","","SX","Q4","","","","","","N","10","0","","","","","","","","17429","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"222","","TBLNAME","Q4","","","","","","T","20","0","","","","","","","","17429","3","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"223","","OBJID","Q4","","","","","","N","38","0","","","","","","","","17429","4","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"224","","PROBLEM","Q4","","","","","","T","20","0","","","","","","","","17429","5","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"225","","ENTRYCODE","Q4","","","","","","T","1","0","","","","","","","","17429","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"226","","RID","Q4","","","","","","N","38","0","","","","","","","","17429","7","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"227","","SITEID","Q4","","","","","","N","38","0","","","","","","","","17429","8","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"228","","VISCODE","Q4","","","","","","T","20","0","","","","","","","","17429","9","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"280","","ID","SITES_VWX","","","","","","N","38","0","","","","","""crfname"","""",""indexes"","""",""notnullcols"",""""","","table_type = system","17700","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"281","","SITECODE","SITES_VWX","","","","","","T","20","0","","","1","","","","","17700","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"282","","SITEINITS","SITES_VWX","","","","","","T","20","0","","","1","","","","","17700","3","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"283","","SITENAME","SITES_VWX","","","","","","T","500","0","","","1","","","","","17700","4","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"289","","ID","TSVIS","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_tsvis_idx=RID,VISCODE,RECNO"",""notnullcols"",""ID,USERID,USERDATE,RID,VISCODE,RECNO""","","table_type = system","17803","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"290","","SX","TSVIS","","","","","","N","10","0","","","","","","","","17803","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"291","","USERID","TSVIS","","","","","","T","100","0","","","","","","","","17803","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"292","","USERDATE","TSVIS","","","","","","S","0","0","","","","","","","","17803","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"293","","RID","TSVIS","","","","","","N","38","0","","","","","","","","17803","5","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"294","","VISCODE","TSVIS","","","","","","T","20","0","","","","","","","","17803","6","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"295","","RECNO","TSVIS","","","","","","N","38","0","","","","","","","","17803","7","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"296","","STATUS","TSVIS","","","","","","N","10","0","","","","","","","","17803","8","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"297","","NOTES","TSVIS","","","","","","T","1000","0","","","","","","","","17803","9","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"298","","ID","VISITS","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_visits_idx=VISCODE"",""notnullcols"",""ID,VISCODE""","","table_type = system","17821","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"299","","SX","VISITS","","","","","","N","10","0","","","","","","","","17821","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"300","","VISCODE","VISITS","","","","","","T","20","0","","","","","","","","17821","3","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"301","","VISNAME","VISITS","","","","","","T","200","0","","","","","","","","17821","4","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"302","","VISORDER","VISITS","","","","","","N","38","0","","","","","","","","17821","5","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"303","","QCNAME","VISITS","","","","","","T","200","0","","","","","","","","17821","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"304","","STATUS","VISITS","","","","","","N","1","0","","","","","","","","17821","7","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"305","","VORDER","VISITS","","","","","","N","38","0","","","","","","","","17821","8","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"306","","XOVER","VISITS","","","","","","T","50","0","","","","","","","","17821","9","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"307","","SCHEDULE","VISITS","","","","","","T","100","0","","","","","","","","17821","10","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"308","","ATTRIBS","VISITS","","","","","","T","200","0","","","","","","","","17821","11","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"338","","ID","ROSTER","Roster","","","","","N","38","0","","","","","""crfname"",""Roster"",""indexes"",""dodadni_roster_idx=RID,ENTRY;dodadni_roster_idx2=ENTRY,SCRNO,TYPE"",""notnullcols"",""ID,RID,SITEID,ENTRY,USERID,USERDATE,SCRNO,TYPE""","","","17530","1","","","4","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"339","","RID","ROSTER","Roster","","","","","N","38 digits","0","","","","","","","","17530","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"340","","SITEID","ROSTER","Roster","","","","","N","38 digits","0","","","","","","","","17530","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"341","","ENTRY","ROSTER","Roster","","","","","N","1 digit","0","","","","","","","","17530","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"342","","VERIFY","ROSTER","Roster","","","","","N","1 digit","0","","","","","","","","17530","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"343","","USERID","ROSTER","Roster","","","","","T","100 characters","0","","","","","","","","17530","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"344","","USERDATE","ROSTER","Roster","","","","","S","100 digits","0","","","","","","","","17530","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"345","","ID","REGISTRY","Registry","","","","","N","38","0","","","","","""crfname"",""Registry"",""indexes"",""dodadni_registry_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","","subquestion_trigger_off; reason_for_change","17525","1","","","4","","","0","","","","","","","","","{""reason_for_change"":""1""}","2015-01-05 10:24:13.0"
"346","","RID","REGISTRY","Registry","","","","","N","38 digits","0","","","","","","","","17525","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"347","","SITEID","REGISTRY","Registry","","","","","N","38 digits","0","","","","","","","","17525","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"348","","VISCODE","REGISTRY","Registry","","","","","T","20 characters","0","","","","","","","","17525","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"349","","ENTRY","REGISTRY","Registry","","","","","N","1 digit","0","","","","","","","","17525","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"350","","VERIFY","REGISTRY","Registry","","","","","N","1 digit","0","","","","","","","","17525","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"351","","USERID","REGISTRY","Registry","","","","","T","100 characters","0","","","","","","","","17525","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"352","","USERDATE","REGISTRY","Registry","","","","","S","100 digits","0","","","","","","","","17525","9","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"353","","ID","ADAS","ADAS-Cognitive Behavior","","","","","N","38","0","","","","","""crfname"",""ADAS-Cognitive Behavior"",""indexes"",""dodadni_adas_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","","reason_for_change","16945","1","","","4","","","0","","","","","","","","","{""confirm"":""0"",""reason_for_change"":""1""}","2015-01-05 10:24:13.0"
"354","","SX","ADAS","ADAS-Cognitive Behavior","","","","","N","10 digits","0","","","","","","","","16945","2","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"355","","RID","ADAS","ADAS-Cognitive Behavior","","","","","N","38 digits","0","","","","","","","","16945","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"356","","SITEID","ADAS","ADAS-Cognitive Behavior","","","","","N","38 digits","0","","","","","","","","16945","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"357","","VISCODE","ADAS","ADAS-Cognitive Behavior","","","","","T","20 characters","0","","","","","","","","16945","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"358","","ENTRY","ADAS","ADAS-Cognitive Behavior","","","","","N","1 digit","0","","","","","","","","16945","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"359","","VERIFY","ADAS","ADAS-Cognitive Behavior","","","","","N","1 digit","0","","","","","","","","16945","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"360","","USERID","ADAS","ADAS-Cognitive Behavior","","","","","T","100 characters","0","","","","","","","","16945","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"361","","USERDATE","ADAS","ADAS-Cognitive Behavior","","","","","S","100 digits","0","","","","","","","","16945","9","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"362","","USERID2","ADAS","ADAS-Cognitive Behavior","","","","","T","100 characters","0","","","","","","","","16945","10","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"363","","USERDATE2","ADAS","ADAS-Cognitive Behavior","","","","","S","100 digits","0","","","","","","","","16945","11","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"364","","WORDLIST","ADAS","ADAS-Cognitive Behavior","","Word Recall and Recognition Tasks List Number","","","N","1","0","","","if(in($vals{$x},1,3,5,7)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=English Word List 1; 3=English Word List 2; 5=English Word List 3; 7=English Word List 4","","combo;version_trigger","16945","12","","","C","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"365","","Q1UNABLE","ADAS","ADAS-Cognitive Behavior","","1. Word Recall","","","N","2","0","","","1","","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable to complete 3 trials for cognitive reasons","","radio;letpass","16945","13","","","R","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
"366","","Q1TR1","ADAS","ADAS-Cognitive Behavior","","Trial 1","","","T","50","0","","","if((in($vals{'Q1UNABLE'},$_n))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif((notin($vals{'Q1UNABLE'},$_n))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif((notin($vals{'Q1UNABLE'},$_n))&&($vals{$x}==$_n)){return(1);}elsif(notin($vals{$x},$_n)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","0=Word 1;1=Word 2; 2=Word 3; 3=Word 4; 4=Word 5; 5=Word 6; 6=Word 7; 7=Word 8; 8=Word 9; 9=Word10;10=None recalled correctly","","check;grid_start;grid_cols=3;grid_indent=1;indent=1;subquestion_trigger=(q1unable:n)","16945","14","","","K","1","","0","","","","","","","3:1:1:","","{}","2015-01-05 10:24:13.0"
"367","","Q1TR2","ADAS","ADAS-Cognitive Behavior","","Trial 2","","","T","50","0","","","if((in($vals{'Q1UNABLE'},$_n))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif((notin($vals{'Q1UNABLE'},$_n))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif((notin($vals{'Q1UNABLE'},$_n))&&($vals{$x}==$_n)){return(1);}elsif(notin($vals{$x},$_n)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","0=Word 1;1=Word 2; 2=Word 3; 3=Word 4; 4=Word 5; 5=Word 6; 6=Word 7; 7=Word 8; 8=Word 9; 9=Word10;10=None recalled correctly","","check;subquestion_trigger=(q1unable:n)","16945","15","","","K","","","0","","","","","","","","","{}","2015-01-05 10:24:13.0"
