"ID","USERDATE","USERDATE2","MEDNAME","update_stamp"
"81","2012-12-03","","Amiloride hclhctz","2013-02-21 09:35:11.0"
"82","2012-12-03","","Amino acids","2013-02-21 09:35:11.0"
"83","2012-12-03","","Aminogen","2013-02-21 09:35:11.0"
"84","2012-12-03","","Amiodarone","2013-02-21 09:35:11.0"
"85","2012-12-03","","Amiodarone hcl","2013-02-21 09:35:11.0"
"86","2012-12-03","","Amitiza","2013-02-21 09:35:11.0"
"87","2012-12-03","","Amitriptyline","2013-02-21 09:35:11.0"
"88","2012-12-03","","Amitriptyline hcl","2013-02-21 09:35:11.0"
"89","2012-12-03","","Amlodipine","2013-02-21 09:35:11.0"
"90","2012-12-03","","Amlodipine besylate","2013-02-21 09:35:11.0"
"91","2012-12-03","","Amoxicillin","2013-02-21 09:35:11.0"
"92","2012-12-03","","Amoxiclav","2013-02-21 09:35:11.0"
"93","2012-12-03","","Amoxil","2013-02-21 09:35:11.0"
"94","2012-12-03","","Amoxycillin","2013-02-21 09:35:11.0"
"95","2012-12-03","","Amphojel","2013-02-21 09:35:11.0"
"96","2012-12-03","","Ampicillin","2013-02-21 09:35:11.0"
"97","2012-12-03","","Ancef","2013-02-21 09:35:11.0"
"98","2012-12-03","","Androderm","2013-02-21 09:35:11.0"
"99","2012-12-03","","Androgel","2013-02-21 09:35:11.0"
"100","2012-12-03","","Antara","2013-02-21 09:35:11.0"
"101","2012-12-03","","Antibiotic","2013-02-21 09:35:11.0"
"102","2012-12-03","","Antibiotics","2013-02-21 09:35:11.0"
"103","2012-12-03","","Antihistamines","2013-02-21 09:35:11.0"
"104","2012-12-03","","Antioxidant","2013-02-21 09:35:11.0"
"105","2012-12-03","","Antivert","2013-02-21 09:35:11.0"
"106","2012-12-03","","Apo doxy","2013-02-21 09:35:11.0"
"107","2012-12-03","","Apo-clonidine","2013-02-21 09:35:11.0"
"108","2012-12-03","","Aquaphor","2013-02-21 09:35:11.0"
"109","2012-12-03","","Aranesp","2013-02-21 09:35:11.0"
"110","2012-12-03","","Arava","2013-02-21 09:35:11.0"
"111","2012-12-03","","Aredia","2013-02-21 09:35:11.0"
"112","2012-12-03","","Arginine","2013-02-21 09:35:11.0"
"113","2012-12-03","","Aricept","2013-02-21 09:35:11.0"
"114","2012-12-03","","Arimidex","2013-02-21 09:35:11.0"
"115","2012-12-03","","Aristospan","2013-02-21 09:35:11.0"
"116","2012-12-03","","Arixtra","2013-02-21 09:35:11.0"
"117","2012-12-03","","Armour thyroid","2013-02-21 09:35:11.0"
"118","2012-12-03","","Aromasin","2013-02-21 09:35:11.0"
"119","2012-12-03","","Arthrotec","2013-02-21 09:35:11.0"
"120","2012-12-03","","Artificial tears","2013-02-21 09:35:11.0"
"121","2012-12-03","","Asa","2013-02-21 09:35:11.0"
"122","2012-12-03","","Asacol","2013-02-21 09:35:11.0"
"123","2012-12-03","","Asaphen","2013-02-21 09:35:11.0"
"124","2012-12-03","","Ascorbic acid","2013-02-21 09:35:11.0"
"125","2012-12-03","","""Ascorbic acid (vit c), incl combinations""","2013-02-21 09:35:11.0"
"126","2012-12-03","","Ascriptin","2013-02-21 09:35:11.0"
"127","2012-12-03","","Asmanex","2013-02-21 09:35:11.0"
"128","2012-12-03","","Aspirin","2013-02-21 09:35:11.0"
"129","2012-12-03","","Aspirin (e.c.)","2013-02-21 09:35:11.0"
"130","2012-12-03","","Aspirin bayer","2013-02-21 09:35:11.0"
"131","2012-12-03","","Aspirin buffered","2013-02-21 09:35:11.0"
"132","2012-12-03","","Aspirin enteric coated k.p.","2013-02-21 09:35:11.0"
"133","2012-12-03","","Aspirine","2013-02-21 09:35:11.0"
"134","2012-12-03","","Aspril","2013-02-21 09:35:11.0"
"135","2012-12-03","","Astelin","2013-02-21 09:35:11.0"
"136","2012-12-03","","Atacand","2013-02-21 09:35:11.0"
"137","2012-12-03","","Atacand hct","2013-02-21 09:35:11.0"
"138","2012-12-03","","Atacand plus","2013-02-21 09:35:11.0"
"139","2012-12-03","","Atarax","2013-02-21 09:35:11.0"
"140","2012-12-03","","Atendol","2013-02-21 09:35:11.0"
"141","2012-12-03","","Atenol","2013-02-21 09:35:11.0"
"142","2012-12-03","","Atenolol","2013-02-21 09:35:11.0"
"143","2012-12-03","","Ativan","2013-02-21 09:35:11.0"
"144","2012-12-03","","Atorvastatin","2013-02-21 09:35:11.0"
"145","2012-12-03","","Atorvastatin calcium","2013-02-21 09:35:11.0"
"146","2012-12-03","","Atropine","2013-02-21 09:35:11.0"
"147","2012-12-03","","Atropine sulfate","2013-02-21 09:35:11.0"
"148","2012-12-03","","Atrovent","2013-02-21 09:35:11.0"
"149","2012-12-03","","Augmentin","2013-02-21 09:35:11.0"
"150","2012-12-03","","Avalide","2013-02-21 09:35:11.0"
"151","2012-12-03","","Avandamet","2013-02-21 09:35:11.0"
"152","2012-12-03","","Avandia","2013-02-21 09:35:11.0"
"153","2012-12-03","","Avapro","2013-02-21 09:35:11.0"
"154","2012-12-03","","Avastin","2013-02-21 09:35:11.0"
"155","2012-12-03","","Avelox","2013-02-21 09:35:11.0"
"156","2012-12-03","","Avidart","2013-02-21 09:35:11.0"
"157","2012-12-03","","Avodart","2013-02-21 09:35:11.0"
"158","2012-12-03","","Axid","2013-02-21 09:35:11.0"
"159","2012-12-03","","Azathioprine","2013-02-21 09:35:11.0"
"160","2012-12-03","","Azithromycin","2013-02-21 09:35:11.0"
"161","2012-12-03","","Azmacort","2013-02-21 09:35:11.0"
"162","2012-12-03","","Azopt","2013-02-21 09:35:11.0"
"163","2012-12-03","","Azor","2013-02-21 09:35:11.0"
"164","2012-12-03","","B complex","2013-02-21 09:35:11.0"
"165","2012-12-03","","B complex plus c","2013-02-21 09:35:11.0"
"166","2012-12-03","","B-100","2013-02-21 09:35:11.0"
"167","2012-12-03","","B-100 complex","2013-02-21 09:35:11.0"
"168","2012-12-03","","B-50","2013-02-21 09:35:11.0"
"169","2012-12-03","","B-50 complex","2013-02-21 09:35:11.0"
"170","2012-12-03","","B-complex","2013-02-21 09:35:11.0"
"171","2012-12-03","","B1","2013-02-21 09:35:11.0"
"172","2012-12-03","","B12","2013-02-21 09:35:11.0"
"173","2012-12-03","","B6","2013-02-21 09:35:11.0"
"174","2012-12-03","","Baby aspirin","2013-02-21 09:35:11.0"
"175","2012-12-03","","Bacitracin","2013-02-21 09:35:11.0"
"176","2012-12-03","","Baclofen","2013-02-21 09:35:11.0"
"177","2012-12-03","","Bactrim","2013-02-21 09:35:11.0"
"178","2012-12-03","","Bactrim ds","2013-02-21 09:35:11.0"
"179","2012-12-03","","Bactrium ds","2013-02-21 09:35:11.0"
"180","2012-12-03","","Balanced b-100","2013-02-21 09:35:11.0"
"181","2012-12-03","","Balanced b-50","2013-02-21 09:35:11.0"
"182","2012-12-03","","Bayer aspirin","2013-02-21 09:35:11.0"
"183","2012-12-03","","Beano","2013-02-21 09:35:11.0"
"184","2012-12-03","","Beconase","2013-02-21 09:35:11.0"
"185","2012-12-03","","Beconase aq","2013-02-21 09:35:11.0"
"186","2012-12-03","","Benadryl","2013-02-21 09:35:11.0"
"187","2012-12-03","","Benadryl allergy","2013-02-21 09:35:11.0"
"188","2012-12-03","","Benazep","2013-02-21 09:35:11.0"
"189","2012-12-03","","Benazepril","2013-02-21 09:35:11.0"
"190","2012-12-03","","Benazepril whydrochlorothiazide","2013-02-21 09:35:11.0"
"191","2012-12-03","","Benefiber","2013-02-21 09:35:11.0"
"192","2012-12-03","","Benemid","2013-02-21 09:35:11.0"
"193","2012-12-03","","Benical","2013-02-21 09:35:11.0"
"194","2012-12-03","","Benicar","2013-02-21 09:35:11.0"
"195","2012-12-03","","Benicar hct","2013-02-21 09:35:11.0"
"196","2012-12-03","","Bentyl","2013-02-21 09:35:11.0"
"197","2012-12-03","","Benzonatate","2013-02-21 09:35:11.0"
"198","2012-12-03","","Beta carotene","2013-02-21 09:35:11.0"
"199","2012-12-03","","Betamethasone","2013-02-21 09:35:11.0"
"200","2012-12-03","","Betamethasone valerate","2013-02-21 09:35:11.0"
"201","2012-12-03","","Betapace","2013-02-21 09:35:11.0"
"202","2012-12-03","","Betaxolol","2013-02-21 09:35:11.0"
"203","2012-12-03","","Bethanechol","2013-02-21 09:35:11.0"
"204","2012-12-03","","Betimol","2013-02-21 09:35:11.0"
"205","2012-12-03","","Betoptic","2013-02-21 09:35:11.0"
"206","2012-12-03","","Biaxin","2013-02-21 09:35:11.0"
"207","2012-12-03","","Biaxin xl","2013-02-21 09:35:11.0"
"208","2012-12-03","","Bicitra","2013-02-21 09:35:11.0"
"209","2012-12-03","","Bilberry","2013-02-21 09:35:11.0"
"210","2012-12-03","","Bimatoprost","2013-02-21 09:35:11.0"
"211","2012-12-03","","Bio e","2013-02-21 09:35:11.0"
"212","2012-12-03","","Bioflavonoids","2013-02-21 09:35:11.0"
"213","2012-12-03","","Bioflex","2013-02-21 09:35:11.0"
"214","2012-12-03","","Biotin","2013-02-21 09:35:11.0"
"215","2012-12-03","","Bisacodyl","2013-02-21 09:35:11.0"
"216","2012-12-03","","Bisoprolol","2013-02-21 09:35:11.0"
"217","2012-12-03","","Bisoprolol fumarate","2013-02-21 09:35:11.0"
"218","2012-12-03","","Black cohosh","2013-02-21 09:35:11.0"
"219","2012-12-03","","Bonamine","2013-02-21 09:35:11.0"
"220","2012-12-03","","Bonine","2013-02-21 09:35:11.0"
"221","2012-12-03","","Boniva","2013-02-21 09:35:11.0"
"222","2012-12-03","","Boost","2013-02-21 09:35:11.0"
"223","2012-12-03","","Boron","2013-02-21 09:35:11.0"
"224","2012-12-03","","Botox","2013-02-21 09:35:11.0"
"225","2012-12-03","","Brimonidine","2013-02-21 09:35:11.0"
"226","2012-12-03","","Brimonidine tartrate","2013-02-21 09:35:11.0"
"227","2012-12-03","","Bromelain","2013-02-21 09:35:11.0"
"228","2012-12-03","","Bromfenex","2013-02-21 09:35:11.0"
"229","2012-12-03","","Bromocriptine","2013-02-21 09:35:11.0"
"230","2012-12-03","","Budeprion","2013-02-21 09:35:11.0"
"231","2012-12-03","","Budesonide","2013-02-21 09:35:11.0"
"232","2012-12-03","","Bufferin","2013-02-21 09:35:11.0"
"233","2012-12-03","","Bumetanide","2013-02-21 09:35:11.0"
"234","2012-12-03","","Bumex","2013-02-21 09:35:11.0"
"235","2012-12-03","","Bupivacaine","2013-02-21 09:35:11.0"
"236","2012-12-03","","Bupivicaine","2013-02-21 09:35:11.0"
"237","2012-12-03","","Bupropion hcl","2013-02-21 09:35:11.0"
"238","2012-12-03","","Buspar","2013-02-21 09:35:11.0"
"239","2012-12-03","","Buspirone","2013-02-21 09:35:11.0"
"240","2012-12-03","","Butalbital","2013-02-21 09:35:11.0"
"241","2012-12-03","","C","2013-02-21 09:35:11.0"
"242","2012-12-03","","Cabergoline","2013-02-21 09:35:11.0"
"243","2012-12-03","","Caduet","2013-02-21 09:35:11.0"
"244","2012-12-03","","Cal-mag","2013-02-21 09:35:12.0"
"245","2012-12-03","","Calciferol","2013-02-21 09:35:12.0"
"246","2012-12-03","","Calcimate","2013-02-21 09:35:12.0"
"247","2012-12-03","","Calcitonin","2013-02-21 09:35:12.0"
"248","2012-12-03","","Calcitriol","2013-02-21 09:35:12.0"
"249","2012-12-03","","Calcitrol","2013-02-21 09:35:12.0"
"250","2012-12-03","","Calcium","2013-02-21 09:35:12.0"
"251","2012-12-03","","Calcium & vitamin d","2013-02-21 09:35:12.0"
"252","2012-12-03","","Calcium +d","2013-02-21 09:35:12.0"
"253","2012-12-03","","Calcium +vit d","2013-02-21 09:35:12.0"
"254","2012-12-03","","Calcium 600 + d","2013-02-21 09:35:12.0"
"255","2012-12-03","","Calcium 600 plus vitamin d","2013-02-21 09:35:12.0"
"256","2012-12-03","","Calcium antacid","2013-02-21 09:35:12.0"
"257","2012-12-03","","Calcium carbonate","2013-02-21 09:35:12.0"
"258","2012-12-03","","Calcium citrate","2013-02-21 09:35:12.0"
"259","2012-12-03","","Calcium citrate wvitamin d nos","2013-02-21 09:35:12.0"
"260","2012-12-03","","Calcium d","2013-02-21 09:35:12.0"
"261","2012-12-03","","Calcium lactate","2013-02-21 09:35:12.0"
"262","2012-12-03","","Calcium magnesium","2013-02-21 09:35:12.0"
"263","2012-12-03","","Calcium magnesium zinc","2013-02-21 09:35:12.0"
"264","2012-12-03","","Calcium oyster shell","2013-02-21 09:35:12.0"
"265","2012-12-03","","Calcium plus","2013-02-21 09:35:12.0"
"266","2012-12-03","","Calcium wmagnesium","2013-02-21 09:35:12.0"
"267","2012-12-03","","Calcium with vitamin d","2013-02-21 09:35:12.0"
"268","2012-12-03","","Calmoseptine","2013-02-21 09:35:12.0"
"269","2012-12-03","","Caltrate","2013-02-21 09:35:12.0"
"270","2012-12-03","","Caltrate d","2013-02-21 09:35:12.0"
"271","2012-12-03","","Caltrate plus","2013-02-21 09:35:12.0"
"272","2012-12-03","","Campral","2013-02-21 09:35:12.0"
"273","2012-12-03","","Capex","2013-02-21 09:35:12.0"
"274","2012-12-03","","Captopril","2013-02-21 09:35:12.0"
"275","2012-12-03","","Carafate","2013-02-21 09:35:12.0"
"276","2012-12-03","","Carbamazepine","2013-02-21 09:35:12.0"
"277","2012-12-03","","Carbidopa","2013-02-21 09:35:12.0"
"278","2012-12-03","","Carbidopalevodopa","2013-02-21 09:35:12.0"
"279","2012-12-03","","Cardizem","2013-02-21 09:35:12.0"
"280","2012-12-03","","Cardizem cd","2013-02-21 09:35:12.0"
"281","2012-12-03","","Cardizem la","2013-02-21 09:35:12.0"
"282","2012-12-03","","Cardura","2013-02-21 09:35:12.0"
"283","2012-12-03","","Carencil","2013-02-21 09:35:12.0"
"284","2012-12-03","","Carisoprodol","2013-02-21 09:35:12.0"
"285","2012-12-03","","Cartia","2013-02-21 09:35:12.0"
"286","2012-12-03","","Cartia xt","2013-02-21 09:35:12.0"
"287","2012-12-03","","Carvedilol","2013-02-21 09:35:12.0"
"288","2012-12-03","","Cascara sagrada","2013-02-21 09:35:12.0"
"289","2012-12-03","","Casodex","2013-02-21 09:35:12.0"
"290","2012-12-03","","Catapres","2013-02-21 09:35:12.0"
"291","2012-12-03","","Cefadroxil","2013-02-21 09:35:12.0"
"292","2012-12-03","","Cefazolin","2013-02-21 09:35:12.0"
"293","2012-12-03","","Cefdinir","2013-02-21 09:35:12.0"
"294","2012-12-03","","Ceftin","2013-02-21 09:35:12.0"
"295","2012-12-03","","Ceftriaxone","2013-02-21 09:35:12.0"
"296","2012-12-03","","Cefuroxime","2013-02-21 09:35:12.0"
"297","2012-12-03","","Cefuroxime axetil","2013-02-21 09:35:12.0"
"298","2012-12-03","","Celebrex","2013-02-21 09:35:12.0"
"299","2012-12-03","","Celecoxib","2013-02-21 09:35:12.0"
"300","2012-12-03","","Celexa","2013-02-21 09:35:12.0"
"301","2012-12-03","","Cenestin","2013-02-21 09:35:12.0"
"302","2012-12-03","","Centrum","2013-02-21 09:35:12.0"
"303","2012-12-03","","Centrum a to zinc","2013-02-21 09:35:12.0"
"304","2012-12-03","","Centrum silver","2013-02-21 09:35:12.0"
"305","2012-12-03","","Cephalexin","2013-02-21 09:35:12.0"
"306","2012-12-03","","Cetaphil","2013-02-21 09:35:12.0"
"307","2012-12-03","","Cetirizine","2013-02-21 09:35:12.0"
"308","2012-12-03","","Cetirizine hydrochloride","2013-02-21 09:35:12.0"
"309","2012-12-03","","Chantix","2013-02-21 09:35:12.0"
"310","2012-12-03","","Charcoal","2013-02-21 09:35:12.0"
"311","2012-12-03","","Cheratussin","2013-02-21 09:35:12.0"
"312","2012-12-03","","Chloroquine","2013-02-21 09:35:12.0"
"313","2012-12-03","","Chlorothiazide","2013-02-21 09:35:12.0"
"314","2012-12-03","","Chlorpheniramine maleate","2013-02-21 09:35:12.0"
"315","2012-12-03","","Chlortab","2013-02-21 09:35:12.0"
"316","2012-12-03","","Chlorthalidone","2013-02-21 09:35:12.0"
"317","2012-12-03","","Chlortrimeton","2013-02-21 09:35:12.0"
"318","2012-12-03","","Cholest-off","2013-02-21 09:35:12.0"
"319","2012-12-03","","Cholestyramine","2013-02-21 09:35:12.0"
"320","2012-12-03","","Cholex","2013-02-21 09:35:12.0"
"321","2012-12-03","","Choline","2013-02-21 09:35:12.0"
"322","2012-12-03","","Choline bitartrate","2013-02-21 09:35:12.0"
"323","2012-12-03","","Chondroitin","2013-02-21 09:35:12.0"
"324","2012-12-03","","Chondroitin sulfate","2013-02-21 09:35:12.0"
"325","2012-12-03","","Chondroitin wglucosamine","2013-02-21 09:35:12.0"
"326","2012-12-03","","Chromagen","2013-02-21 09:35:12.0"
"327","2012-12-03","","Chromium","2013-02-21 09:35:12.0"
"328","2012-12-03","","Chromium picolinate","2013-02-21 09:35:12.0"
"329","2012-12-03","","Cialis","2013-02-21 09:35:12.0"
"330","2012-12-03","","Ciclopirox","2013-02-21 09:35:12.0"
"331","2012-12-03","","Cilostazol","2013-02-21 09:35:12.0"
"332","2012-12-03","","Cimetidine","2013-02-21 09:35:12.0"
"333","2012-12-03","","Cinnamon","2013-02-21 09:35:12.0"
"334","2012-12-03","","Cipro","2013-02-21 09:35:12.0"
"335","2012-12-03","","Cipro hc otic","2013-02-21 09:35:12.0"
"336","2012-12-03","","Ciproflox","2013-02-21 09:35:12.0"
"337","2012-12-03","","Ciprofloxacin hcl","2013-02-21 09:35:12.0"
"338","2012-12-03","","Citalopram","2013-02-21 09:35:12.0"
"339","2012-12-03","","Citalopram hydrobromide","2013-02-21 09:35:12.0"
"340","2012-12-03","","Citracal","2013-02-21 09:35:12.0"
"341","2012-12-03","","Citracal + d","2013-02-21 09:35:12.0"
"342","2012-12-03","","Citracal plus","2013-02-21 09:35:12.0"
"343","2012-12-03","","Citrical","2013-02-21 09:35:12.0"
"344","2012-12-03","","Citrucel","2013-02-21 09:35:12.0"
"345","2012-12-03","","Citrus bioflavonid","2013-02-21 09:35:12.0"
"346","2012-12-03","","Clarinex","2013-02-21 09:35:12.0"
"347","2012-12-03","","Clarithromycin","2013-02-21 09:35:12.0"
"348","2012-12-03","","Claritin","2013-02-21 09:35:12.0"
"349","2012-12-03","","Claritin-d","2013-02-21 09:35:12.0"
"350","2012-12-03","","Clavulanic acid","2013-02-21 09:35:12.0"
"351","2012-12-03","","Clindamycin","2013-02-21 09:35:12.0"
"352","2012-12-03","","Clinoril","2013-02-21 09:35:12.0"
"353","2012-12-03","","Clobetasol","2013-02-21 09:35:12.0"
"354","2012-12-03","","Clobetasol propionate","2013-02-21 09:35:12.0"
"355","2012-12-03","","Clobex","2013-02-21 09:35:12.0"
"356","2012-12-03","","Clomipramine","2013-02-21 09:35:12.0"
"357","2012-12-03","","Clonazepam","2013-02-21 09:35:12.0"
"358","2012-12-03","","Clonazepan","2013-02-21 09:35:12.0"
"359","2012-12-03","","Clonidine","2013-02-21 09:35:12.0"
"360","2012-12-03","","Clonidine hcl","2013-02-21 09:35:12.0"
"361","2012-12-03","","Clopidogrel bisulfate","2013-02-21 09:35:12.0"
"362","2012-12-03","","Clorazepate","2013-02-21 09:35:12.0"
"363","2012-12-03","","Clorpres","2013-02-21 09:35:12.0"
"364","2012-12-03","","Clotrimaderm","2013-02-21 09:35:12.0"
"365","2012-12-03","","Clotrimazole","2013-02-21 09:35:12.0"
"366","2012-12-03","","Co-enzyme q10","2013-02-21 09:35:12.0"
"367","2012-12-03","","Coconut oil","2013-02-21 09:35:12.0"
"368","2012-12-03","","Cod liver oil","2013-02-21 09:35:12.0"
"369","2012-12-03","","Codeine","2013-02-21 09:35:12.0"
"370","2012-12-03","","Coenzyme q10","2013-02-21 09:35:12.0"
"371","2012-12-03","","Colace","2013-02-21 09:35:12.0"
"372","2012-12-03","","Colazal","2013-02-21 09:35:12.0"
"373","2012-12-03","","Colchicine","2013-02-21 09:35:12.0"
"374","2012-12-03","","Cold-eeze","2013-02-21 09:35:12.0"
"375","2012-12-03","","Colestid","2013-02-21 09:35:12.0"
"376","2012-12-03","","Colestipol","2013-02-21 09:35:12.0"
"377","2012-12-03","","Collagenase","2013-02-21 09:35:12.0"
"378","2012-12-03","","Combigan","2013-02-21 09:35:12.0"
"379","2012-12-03","","Combivent","2013-02-21 09:35:12.0"
"380","2012-12-03","","Compazine","2013-02-21 09:35:12.0"
"381","2012-12-03","","Complex b","2013-02-21 09:35:12.0"
"382","2012-12-03","","Conjugated linoleic acid","2013-02-21 09:35:12.0"
"383","2012-12-03","","Copper","2013-02-21 09:35:12.0"
"384","2012-12-03","","Coral calcium","2013-02-21 09:35:12.0"
"385","2012-12-03","","Coreg","2013-02-21 09:35:12.0"
"386","2012-12-03","","Cortaid","2013-02-21 09:35:12.0"
"387","2012-12-03","","Corticosteroids","2013-02-21 09:35:12.0"
"388","2012-12-03","","Cortisol","2013-02-21 09:35:12.0"
"389","2012-12-03","","Cortisone","2013-02-21 09:35:12.0"
"390","2012-12-03","","Cortisporin otic","2013-02-21 09:35:12.0"
"391","2012-12-03","","Cortizone","2013-02-21 09:35:12.0"
"392","2012-12-03","","Cosamin ds","2013-02-21 09:35:12.0"
"393","2012-12-03","","Cosopt","2013-02-21 09:35:12.0"
"394","2012-12-03","","Coumadin","2013-02-21 09:35:12.0"
"395","2012-12-03","","Coversyl","2013-02-21 09:35:12.0"
"396","2012-12-03","","Cozaar","2013-02-21 09:35:12.0"
"397","2012-12-03","","Cranberry","2013-02-21 09:35:12.0"
"398","2012-12-03","","Creatine","2013-02-21 09:35:12.0"
"399","2012-12-03","","Crestor","2013-02-21 09:35:12.0"
"400","2012-12-03","","Curcumen","2013-02-21 09:35:12.0"
"401","2012-12-03","","Cyanocobalamin","2013-02-21 09:35:12.0"
"402","2012-12-03","","Cyclobenzaprine","2013-02-21 09:35:12.0"
"403","2012-12-03","","Cyclogyl","2013-02-21 09:35:12.0"
"404","2012-12-03","","Cyclopentolate","2013-02-21 09:35:12.0"
"405","2012-12-03","","Cymbalta","2013-02-21 09:35:12.0"
"406","2012-12-03","","Cytomel","2013-02-21 09:35:12.0"
"407","2012-12-03","","Cytotec","2013-02-21 09:35:12.0"
"408","2012-12-03","","Dabigatran","2013-02-21 09:35:12.0"
"409","2012-12-03","","Daily multivitamin","2013-02-21 09:35:12.0"
"410","2012-12-03","","Dalteparin","2013-02-21 09:35:12.0"
